167.234.14.243 - - [24/Apr/2017:05:52:39 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508928 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:39 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508929 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:40 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508930 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:40 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508931 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:41 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508932 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:41 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508933 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:41 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508934 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:42 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508935 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:42 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508936 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:43 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508937 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:43 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508938 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:44 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508939 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:44 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508940 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:45 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508941 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:45 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508942 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:45 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508943 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:46 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508944 HTTP/1.1" 200 11091
